Room,Time,Name,Department,Abstract,Narrative
213,08:30 - 08:50,Deepika Nambiar,Biochemistry & Cellular and Molecular Biology,A method to titrate enzyme activity in vivo ,"The living cell is a crowded environment and there are many interactions that take place in the cell which are not considered when we study enzyme activity and kinetics in the test tube. In this study, we show that these weak but biologically relevant interactions can be harnessed to control protein activity in the cell. We have found that increasing these interactions leads to the decrease in protein activity which ultimately results in cell death. "
213,08:55 - 09:15,Joy Buongiorno,Microbiology,"High resolution microbial community analysis of Arctic sediments, Svalbard","Climate change has the potential to disrupt ecosystem processes in the High Arctic, where glacial retreat is already being observed. Our work strives to understand how microbial communities living in sediments of Arctic fjord systems may respond to their changing environment as the climate continues to warm."
213,09:20 - 09:40,Chelsi Cassilly,Microbiology,Characterization of the Fungal Phosphatidylserine Synthase as a Drug Target,"Because of rising drug resistance, new drugs are desperately needed to combat the pathogenic fungus Candida albicans.  This project is centered around the discovery and characterization of molecules that can inhibit the virulence of this organism by targeting a protein required to make lipids important for the fungal membrane."
213,09:45 - 10:05,Lauren Krausfeldt,Microbiology,Spatial and temporal variability in the nitrogen cyclers of hypereutrophic Lake Taihu ral variability in the nitrogen cyclers of hypereutrophic Lake Taihu ,"Harmful cyanobacterial blooms are detrimental to freshwater ecosystems in the United States and around the world. We aim to understand how the cycling of nutrients, like nitrogen, affects the success of toxic cyanobacteria using heavily polluted Lake Taihu in China as a model system. "
213,10:10 - 10:30,Emily Stow,Biochemistry & Cellular and Molecular Biology,"Defining the role of Heterochromatin and Insulator Partner Protein, 1 (HIPP1) in chromatin insulator function and DNA replication","The packaging of genetic material within a cell is a tightly regulated process that is essential for proper gene expression and cell function. Insulator proteins contribute to this organization by facilitating communication between distant sites in the genome. This study provides evidence of a role for insulator proteins during the replication of genetic material, preceding cell division.
"
213,10:35 - 10:50,Sushmitha Vijaya Kumar,Genome Science and Technology,Investigating the role of carotenoids in membrane organization of Pantoea sp. YR343,Carotenoids are colored pigments that are best know for their anti-oxidant properties. They are present even in microorganisms where they not only provide photo-protection but also are thought to play important roles in maintaining the structural and functional integrity of membranes. My work focus on understanding the role of carotenoids in membrane organization in bacteria.
252,08:30 - 08:50,Alexandra Boggs,Civil and Environmental Engineering,"Truck Parking Facilities and Ramp Parking: Role of Supply, Demand, and Ramp Characteristics","Faced with increasing commercial vehicle (CMV) traffic and static revenue, public agencies cannot contend with providing adequate public parking for CMVs. It continuously leads to overcapacity facilities and resulting in ramp parking. This study analyzes Tennessee’s primary freeways to assess truck facilities in addition to inventorying the usage of ramps shoulders for overnight parking during the peak hours of weekdays. The authors used CMV drivers’ perspectives and behaviors on the parking problem through a survey along with examining ramp characteristics and ramp parking to identify factors that influence illegal ramp parking. "
252,08:55 - 09:15,Ifana Mahbub,Electrical Engineering and Computer Science,A Low Power Wearable Respiration Monitoring Sensor using Pyroelectric Transducer,"The paper presents a fully integrated low power wearable respiration monitoring system using pyroelectric transducer to detect apnea which is one of the leading causes of neonatal deaths worldwide. Using the distinctive features of the PVDF sensor and the CMOS integrated circuit, our proposed device will be a low-power, small, low-cost and smarter substitute to the existing methods of apnea detection."
252,09:20 - 09:40,Ziwen Ling,Civil and Environmental Engineering,How to Prevent Railroad Crossings from Becoming a Hazard to Bicyclists,"There are over 120,000 at-grade rail crossings in the USA. Little research has been conducted on the effectiveness of engineering or educational countermeasures to improve safety of grade crossings of bicycles and rail infrastructure itself, or special accommodations at off-road grade crossings, that could include shared use paths (e.g., greenways) or two-way cycle tracks.This study is focused on the factors on bicycle crashes caused by skewed railway tracks using video observations of 32 crashes and 100 non-crash cases from a monitored at-grade bicycle railway crossing."
252,09:45 - 10:05,Anjali Nair,Nuclear Engineering,A Bayesian Model Selection Approach to Sensor Calibration Assessment in Nuclear Power Plants,Online Monitoring system(OLM) is a promising tool that can make maintenance process in the nuclear industry cost and time effective while minimizing radiation exposure to personals. It can be beneficial to  reducing outage times and minimizing possibilities of unscheduled outages; a major cost factor to nuclear plant operations. This research develops a method to measure uncertainty in OLM predictions in order to support OLM navigate the current technical and regulatory issue and be implemented in the US nuclear fleet. 
252,10:10 - 10:30,Rosemary Le,Chemical and Biomolecular Engineering,Conversion of corn stover alkaline pre-treatment waste streams into biodiesel via Rhodococci,"Lignin, after cellulose, is the second most abundant biopolymer on Earth, comprising 30% of the organic carbon in the biosphere. It presents a potential green energy source, derived from a variety of biomass and industrial waste streams, which can be converted to fungible fuels."
